"BRANCH";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"AZ";0.330117798082006;0.00521029978101639;0.158781998036699;0.00385109114249037;0.016914596390546;0.0555198973042362;0.152967605527448;0.0230687910594276;0.0164615268443706;0.0120063429736465;0;0.000981650683379899;0.0075511591029223;0.00447406176848146;0.0559729668504115;0.0236728837876614;0.00949558257192479;0.00745676961413577;0.00573888091822095;0.00154798761609907;0.000717360114777618;0.00330363210752851;0.000736238012534924;0.0000188778977573057;0.0512346145133278;0.000358680057388809;0.0272219285660349;0;0.0075700370006796;0.0126293135996375;0;0.00281280676583856;0;0;0;0.00158574341161368;0
"BZ";0;0.0403889304412865;0.0138369483919222;0.00224382946896036;0.025056095736724;0.0489902767389678;0.0512341062079282;0;0.132011967090501;0.0549738219895288;0.00448765893792072;0.00860134629768138;0.176514584891548;0.00261780104712042;0.0422587883320868;0.0388930441286462;0.0104712041884817;0.0183246073298429;0.0392670157068063;0.049738219895288;0.0216903515332835;0;0.00299177262528048;0.00037397157816006;0.043754674644727;0.0246821241585639;0.0654450261780105;0;0.00673148840688108;0.0643231114435303;0;0.0100972326103216;0.00037397157816006;0;0;0;0
"CA";0.333558774187315;0.00570043302210784;0.294797586318961;0.00555989846378161;0.0196221377063003;0.0071672624746379;0.0137723867159709;0.00122967738535454;0.0324810497931507;0.0138777876347156;0.000729023021317336;0.00191478335719493;0.0091962301604729;0.00218706906395201;0.00378564966491291;0.0228105154983268;0.01093534531976;0.0012648110249361;0.0119981379171022;0.0250151513820695;0.00419846992999622;0.00198505063635805;0.00194991699677649;0.00454102291591642;0.0255948564351653;0.00588488462991102;0.047931067799141;0;0.0273427550043478;0.052507224354639;0;0.00457615655549798;0.000869557579643569;0;0.000606055282781882;0.00440048835759018;0
"CB";0.0198699421965318;0.00261921965317919;0.0296242774566474;0.536488439306358;0.0199602601156069;0.00668352601156069;0.0798410404624278;0.000361271676300578;0.0340498554913295;0.0204118497109827;0.0016257225433526;0.00279985549132948;0.0158056358381503;0.00099349710982659;0.00261921965317919;0.0146315028901734;0.0176119942196532;0.00298049132947977;0.00957369942196532;0.021856936416185;0.00361271676300578;0.0016257225433526;0.00361271676300578;0.00532875722543353;0.0279985549132948;0.00523843930635838;0.0336885838150289;0;0.0208634393063584;0.047507225433526;0;0.00559971098265896;0.000903179190751445;0;0.000541907514450867;0.00307080924855491;0
"CC";0.0837303724572234;0.00497162033392717;0.00762315117868832;0.0483075775779923;0.310974851887144;0.00932178812611344;0.0780544392426565;0.0000828603388987861;0.0290425487840245;0.0317355097982351;0.00472303931723081;0.00969465965115797;0.016654928118656;0.00116004474458301;0.0120976094792228;0.0564693209595227;0.0338484484401541;0.00314869287815387;0.0133405145627046;0.0384471972490368;0.00472303931723081;0.00169863694742512;0.0029829722003563;0.00617309524795956;0.0264738782781622;0.0126362016820649;0.0659982599328831;0;0.0134648050710527;0.0634295894270208;0;0.00526163152007292;0.00053859220284211;0;0.000787173219538468;0.00244437999751419;0
"CD";0;0.634734371666311;0.00265171142064677;0.00198116370508092;0.00124965710628181;0.0614160748575086;0.0301441677588467;0.0000914383248498888;0.0293821817184309;0.0243835532933037;0.00377945076046207;0.00670547715565851;0.0110030784236033;0.0013410954311317;0.00295650583681307;0.022463348471456;0.0166722545642964;0.00911335304337225;0.0121003383218019;0.0281630040537657;0.00365753299399555;0.000944862690115517;0.00219451979639733;0.00594349111524277;0.0129842421286842;0.00390136852692859;0.0318205370477613;0;0.00426712182632814;0.0227376634460057;0;0.00472431345057759;0.000975342131732147;0;0.000640068273949221;0.00490719010027736;0
"CE";0.00152405354066352;0.0416795511772761;0.0557936122277687;0.0068913725316959;0.0178689755709679;0.13144409594911;0.355965896541061;0.00795158369041834;0.0460750099394796;0.032822370455449;0.00307019481380042;0.00678093386932897;0.0120599019304678;0.00150196580819013;0.00673675840438221;0.0639660732429209;0.0151521844767416;0.00209833458497151;0.0100057428104431;0.0263506648407475;0.00536731899103238;0.00218668551486504;0.0028051420241198;0.00538940672350577;0.0216018023589698;0.00742147811105712;0.0329107213853426;0;0.0280072447762513;0.0350090559703141;0;0.00817246101515218;0.000596368776781376;0;0.000750982904095066;0.00401996731015594;0
"CF";0;0.00183594036865683;0.0287141073657928;0.00851876331056767;0.0383344348975545;0.00433281927003011;0.175001835940369;0.308584857163839;0.0362781816846589;0.0217375339648968;0.000807813762209003;0.00161562752441801;0.00403906881104502;0.000073437614746273;0.00624219725343321;0.0178453403833444;0.0143203348755232;0.00168906513916428;0.0304766101197033;0.0262172284644195;0.00932657707277668;0.00308437981934347;0.00521407064698539;0.00646251009767203;0.0220312844238819;0.0174047146948667;0.0715282367628699;0;0.061320408313138;0.0591172798707498;0;0.0122640816626276;0.000440625688477638;0;0.00161562752441801;0.00352500550782111;0
"CG";0.00679154003597345;0.0305464243627117;0.00421757737393785;0.0097376418780624;0.0287167400607827;0.0124976741301247;0.281678347702041;0.000279104385040005;0.196334429076475;0.0449358059914408;0.00666749364262234;0.00632636606090678;0.0258636730137071;0.00182968430192892;0.00440364696396452;0.0416795881659741;0.0175215530608448;0.00353532221050673;0.0231036407616449;0.0320970042796006;0.00688457483098679;0.0014265335235378;0.00204676549029337;0.00449668175897786;0.0175835762575203;0.0095825838863735;0.0700241890467035;0;0.00477578614401786;0.0893444148111394;0;0.00964460708304906;0.000527197171742232;0;0.00105439434348446;0.00384543819388451;0
"CH";0;0.0304998068468203;0.0037342948069388;0.00364231710233439;0.00629127499494123;0.00737661190927319;0.0367358952189989;0.0000367910818417616;0.0305365979286621;0.465241625429996;0.011423630911867;0.0226265153326834;0.0334246978532404;0.00196832287853424;0.0119571015985725;0.0492448630451978;0.0618458085760012;0.00533470686705543;0.0140909843453947;0.0259377126984419;0.00634646161770387;0.00137966556906606;0.00185794963300896;0.0037342948069388;0.0160041206011663;0.00871948639649749;0.0541012858483104;0;0.00415739224811906;0.0716322363459097;0;0.0061257151266533;0.000846194882360516;0;0.000993359209727562;0.00222586045142657;0
"CI";0;0.00131436523890521;0.00409772692129272;0.0129117055821865;0.0146126488325344;0.00417504252358126;0.0166228544920365;0.0000773156022885418;0.0915416731096335;0.138008350085047;0.254986856347611;0.0826503788464512;0.0576774393072522;0.00201020565950209;0.0352559146435751;0.0179372197309417;0.00927787227462502;0.00548940776248647;0.016700170094325;0.0243544147208907;0.00618524818308335;0.00463893613731251;0.00355651770527292;0.0223442090613886;0.0254368331529303;0.00703571980825731;0.0625483222514303;0;0.0094325034792021;0.0509509819081491;0;0.0131436523890521;0.000463893613731251;0;0.000927787227462502;0.00371114890985001;0
"CJ";0;0.00137111517367459;0.00335161486898233;0.00723644119439366;0.0120353443022547;0.00373248019500305;0.0520262035344302;0.0000761730652041438;0.0952925045703839;0.257236441194394;0.130941499085923;0.16232480195003;0.0421237050578915;0.00159963436928702;0.013254113345521;0.0124923826934796;0.00769347958561853;0.0048750761730652;0.0110450944546009;0.0179768433881779;0.00464655697745277;0.00198049969530774;0.00403717245581962;0.00540828762949421;0.0182053625837904;0.00266605728214503;0.0381627056672761;0;0.00731261425959781;0.0650517976843388;0;0.0101310176721511;0.000533211456429007;0;0.000685557586837294;0.00457038391224863;0
"CK";0.0000407514568645829;0.000896532051020824;0.00321936509230205;0.0095358409063124;0.00892456905334366;0.00521618647866661;0.0261624353070622;0.0000407514568645829;0.0697257426953014;0.258730999633237;0.0539549288887078;0.0546069521985411;0.176820571335425;0.0347202412486246;0.0310933615876768;0.0106361302416561;0.00868006031215616;0.0182566526753331;0.0161375769183748;0.0210277517421248;0.0061942214434166;0.00195606992949998;0.00448266025510412;0.00582745833163536;0.0211092546558539;0.00790578263172908;0.060475161987041;0;0.00370838257467704;0.0616162027792494;0;0.00994335547495823;0.000692774766697909;0;0.00097803496474999;0.00680549329638535;0
"CL";0;0.000658437934386137;0.00148409820131479;0.0119354939852217;0.00887323502053699;0.0021111819483492;0.0180704633103751;0.0000209027915678139;0.0556536825493045;0.0991941973850608;0.0668993844127883;0.0247907107994273;0.0825869294844327;0.385646053030382;0.0720623739300384;0.00774448427587504;0.00476583647746156;0.00410739854307543;0.0133359810202653;0.0134404949781043;0.00399243318945245;0.00170357751277683;0.00194395961580669;0.00339670362976976;0.0108694516152632;0.00470312810275812;0.0366843992015134;0;0.0116010493201367;0.0362245377870215;0;0.00867465850064276;0.000480764206059719;0;0.000595729559682696;0.00574826768114882;0
"CM";0;0.00162850127774716;0.00551185047852884;0.0233752568021246;0.0355263817206995;0.00531141955203688;0.0368792904745202;0.00105226236408278;0.0723054567319737;0.18387032119056;0.037931552838603;0.0254547276644786;0.134789798065842;0.0124768251741244;0.223781129428271;0.00438442651701157;0.00736583654857945;0.00546174274690585;0.0145813499022899;0.0167860900937015;0.00538658114947136;0.00145312421706669;0.00258054817858396;0.0042591571879541;0.0142556496467405;0.00478528836999549;0.0430675953299594;0;0.0121260710527634;0.0439444806333617;0;0.0100967079220324;0.000576238913664378;0;0.00085183143759082;0.00819261412035877;0
