"BRANCH";"PRD";"IC";"CFC";"NVA"
"AZ";83523;51416;12002.2;20104.8
"BZ";4452;2599;1435.8;417.2
"CA";155225;110630;5785.3;38809.7
"CB";16121;10890;737.3;4493.7
"CC";35337;24110;2180.9;9046.1
"CD";29566;26913;600.1;2052.9
"CE";62365;43415;4795.8;14154.2
"CF";25944;13431;4341.6;8171.4
"CG";51413;32354;3509.9;15549.1
"CH";78220;52893;5104.4;20222.6
"CI";25481;13651;8762.4;3067.6
"CJ";20200;13329;1825.8;5045.2
"CK";36593;24758;2536.6;9298.4
"CL";131222;101068;12896.3;17257.7
"CM";70219;40728;3986.4;25504.6
"DZ";105135;69810;12155.2;23169.8
"EZ";35695;21470;5913.9;8311.1
"FZ";272638;164276;7577.8;100784.2
"GZ";415017;207020;16945.7;191050.3
"HZ";196030;104143;19631.2;72255.8
"IZ";104499;49998;4865.2;49635.8
"JA";53288;28786;9451;15051
"JB";54840;30193;6866.2;17780.8
"JC";86868;33997;12183.9;40687.1
"KZ";218185;132144;14352.6;71688.4
"LZ";312937;55695;97926.7;159315.3
"MA";237006;130022;14300.8;92683.2
"MB";63330;29180;16330.3;17819.7
"MC";32840;17461;2170.8;13208.2
"NZ";187848;77663;17286.7;92898.3
"OZ";215530;57437;38130.9;119962.1
"PZ";131538;24573;10390.3;96574.7
"QA";162943;44591;8437;109915
"QB";82155;15628;6010.4;60516.6
"RZ";51221;23183;6548.8;21489.2
"SZ";44091;16645;2385.7;25060.3
"TZ";3376;0;0;0
