"BRANCH";"PRD";"IC";"CFC";"NVA"
"AZ";88271;52972;12183.3;23115.7
"BZ";4618;2674;1440.8;503.2
"CA";157638;113851;5702.7;38084.3
"CB";16318;11072;710.9;4535.1
"CC";35228;24137;2172.5;8918.5
"CD";35430;32809;578.7;2042.3
"CE";64869;45274;4605.8;14989.2
"CF";26029;13617;4262;8150
"CG";51176;32246;3449.4;15480.6
"CH";80224;54361;5025;20838
"CI";24431;12934;8536.7;2960.3
"CJ";19920;13128;1751.6;5040.4
"CK";36714;24539;2472.3;9702.7
"CL";125598;95681;12618.5;17298.5
"CM";69365;39914;3853.7;25597.3
"DZ";104272;68936;11766.3;23569.7
"EZ";36405;22270;5795;8340
"FZ";271069;163185;7651.8;100232.2
"GZ";406514;200783;16384.4;189346.6
"HZ";194909;104207;19268.8;71433.2
"IZ";101425;49285;4708.8;47431.2
"JA";51572;27700;9119.1;14752.9
"JB";54284;29430;6595.8;18258.2
"JC";81408;32095;11536.3;37776.7
"KZ";221634;134079;13644.9;73910.1
"LZ";306420;55907;96736.8;153776.2
"MA";229752;125974;13486.8;90291.2
"MB";62862;29333;16016.2;17512.8
"MC";31594;16592;2103.8;12898.2
"NZ";181767;76958;16694.5;88114.5
"OZ";214662;57546;37951.4;119164.6
"PZ";129449;24179;10267.9;95002.1
"QA";159049;43370;8350.2;107328.8
"QB";80730;15222;5812.6;59695.4
"RZ";49975;22384;6351.1;21239.9
"SZ";43430;16368;2319.9;24742.1
"TZ";3470;0;0;0
