"BRANCH";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"AZ";0;0;0;0;0;0;0;0;0;0;0.00115440827977581;0;0.441916605554451;0.015980271335302;0;0;0;0.300882253418835;0;0;0;0;0;0;0;0;0;0.0387729332243928;0;0;0;0;0;0;0;0;0
"BZ";0;0;0;0;0;0;0;0;0;0;0.0139238559189553;0;0.279584186432132;0.0492960302961333;0;0;0;0.238717666483214;0;0;0;0;0;0;0;0;0;0.229155200880572;0;0;0;0;0;0;0;0;0
"CA";0;0;0;0;0;0;0;0;0;0;0.0239451432445976;0;0.443079704974387;0.0396891407573157;0;0;0;0.227866734269966;0;0;0;0;0;0;0;0;0;0.223516134835871;0;0;0;0;0;0;0;0;0
"CB";0;0;0;0;0;0;0;0;0;0;0.00887211963400458;0;0.269631781240703;0.0144534894401238;0;0;0;0.16816285244658;0;0;0;0;0;0;0;0;0;0.505247186749273;0;0;0;0;0;0;0;0;0
"CC";0;0;0;0;0;0;0;0;0;0;0.0213042378734924;0;0.495775793350719;0.04730668804526;0;0;0;0.158118710935768;0;0;0;0;0;0;0;0;0;0.254310918037147;0;0;0;0;0;0;0;0;0
"CD";0;0;0;0;0;0;0;0;0;0;0.0288954820209853;0;0.404716426248701;0.0445437984574488;0;0;0;0.101133786848073;0;0;0;0;0;0;0;0;0;0.403476946334089;0;0;0;0;0;0;0;0;0
"CE";0;0;0;0;0;0;0;0;0;0;0.0326826360705383;0;0.372273820575568;0.0490086699424073;0;0;0;0.0767806127475126;0;0;0;0;0;0;0;0;0;0.458004137523397;0;0;0;0;0;0;0;0;0
"CF";0;0;0;0;0;0;0;0;0;0;0.00344478722018231;0;0.0998424118681936;0.00565502641925883;0;0;0;0.0483263646653884;0;0;0;0;0;0;0;0;0;0.830395712536672;0;0;0;0;0;0;0;0;0
"CG";0;0;0;0;0;0;0;0;0;0;0.0097516768938988;0;0.37463122947427;0.0350770816798565;0;0;0;0.115798337588961;0;0;0;0;0;0;0;0;0;0.454202205682621;0;0;0;0;0;0;0;0;0
"CH";0;0;0;0;0;0;0;0;0;0;0.0272848439598564;0;0.459558105929091;0.0472835488786809;0;0;0;0.110023906154445;0;0;0;0;0;0;0;0;0;0.345138155334408;0;0;0;0;0;0;0;0;0
"CI";0;0;0;0;0;0;0;0;0;0;0.00290756562528278;0;0.0462942476261644;0.00464434059470679;0;0;0;0.0127915807746555;0;0;0;0;0;0;0;0;0;0.931083866767929;0;0;0;0;0;0;0;0;0
"CJ";0;0;0;0;0;0;0;0;0;0;0.00855625532766995;0;0.14455107123538;0.0117490331973807;0;0;0;0.040300477108923;0;0;0;0;0;0;0;0;0;0.791797787026698;0;0;0;0;0;0;0;0;0
"CK";0;0;0;0;0;0;0;0;0;0;0.0102389005754644;0;0.209957355087294;0.0177683427813769;0;0;0;0.0622721635536848;0;0;0;0;0;0;0;0;0;0.686797700026307;0;0;0;0;0;0;0;0;0
"CL";0;0;0;0;0;0;0;0;0;0;0.010139506755357;0;0.158761168649213;0.0178145174795936;0;0;0;0.0240114167490958;0;0;0;0;0;0;0;0;0;0.785988809773704;0;0;0;0;0;0;0;0;0
"CM";0;0;0;0;0;0;0;0;0;0;0.0141751025944343;0;0.268530212238297;0.0311196120678533;0;0;0;0.132104349415205;0;0;0;0;0;0;0;0;0;0.531478435672515;0;0;0;0;0;0;0;0;0
