"BRANCH";"PRD";"IC";"CFC";"NVA"
"AZ";90944;53832;12234.4;24877.6
"BZ";4973;3069;1484.9;419.1
"CA";164359;118142;6347;39869
"CB";17263;11417;827.1;5018.9
"CC";36342;24820;2313;9209
"CD";35587;33774;687;1126
"CE";65892;44993;5245.6;15653.4
"CF";28708;15879;4375.1;8453.9
"CG";55045;34938;3802.8;16304.2
"CH";85328;59783;5592.8;19952.2
"CI";28475;15186;9602;3687
"CJ";20933;13781;2073.2;5078.8
"CK";39095;26782;2753.3;9559.7
"CL";152090;117787;13602;20701
"CM";77700;45580;4616;27504
"DZ";126477;86767;14208.5;25501.5
"EZ";39953;24886;6393.2;8673.8
"FZ";312235;188121;8389.4;115724.6
"GZ";455877;230933;19148.8;205795.2
"HZ";224491;125155;22164.4;77171.6
"IZ";121745;58670;5779.1;57295.9
"JA";57891;30376;10691.1;16823.9
"JB";56075;31105;7868.2;17101.8
"JC";109436;45681;14759.2;48995.8
"KZ";235135;151939;17762;65434
"LZ";335163;57168;110784.5;167210.5
"MA";272432;148247;17219.3;106965.7
"MB";69199;32134;17863.8;19201.2
"MC";38403;21315;2509.3;14578.7
"NZ";221249;93919;20414;106916
"OZ";228319;62222;40933.9;125163.1
"PZ";140361;26245;11323.4;102792.6
"QA";174248;50657;9045.3;114545.7
"QB";87280;16855;6378;64047
"RZ";57635;25156;7491.3;24987.7
"SZ";47158;18386;2735.8;26036.2
"TZ";1473;0;0;0
