"BRANCH";"SECTOR"
"AZ";"A"
"BZ";"B"
"CA";"C-T"
"CB";"C-T"
"CC";"C-T"
"CD";"C-T"
"CE";"C-T"
"CF";"C-T"
"CG";"C-T"
"CH";"C-T"
"CI";"C-T"
"CJ";"C-T"
"CK";"C-T"
"CL";"C-T"
"CM";"C-T"
"DZ";"C-T"
"EZ";"C-T"
"FZ";"C-T"
"GZ";"C-T"
"HZ";"C-T"
"IZ";"C-T"
"JA";"C-T"
"JB";"C-T"
"JC";"C-T"
"KZ";"C-T"
"LZ";"C-T"
"MA";"C-T"
"MB";"C-T"
"MC";"C-T"
"NZ";"C-T"
"OZ";"C-T"
"PZ";"C-T"
"QA";"C-T"
"QB";"C-T"
"RZ";"C-T"
"SZ";"C-T"
"TZ";"C-T"
