"BRANCH";"SECTOR"
"AZ";"B-S_X_O"
"BZ";"B-F"
"CA";"B-F"
"CB";"B-F"
"CC";"B-F"
"CD";"B-F"
"CE";"B-F"
"CF";"B-F"
"CG";"B-F"
"CH";"B-F"
"CI";"B-F"
"CJ";"B-F"
"CK";"B-F"
"CL";"B-F"
"CM";"B-F"
"DZ";"B-F"
"EZ";"B-F"
"FZ";"B-F"
"GZ";"G-N"
"HZ";"G-N"
"IZ";"G-N"
"JA";"G-N"
"JB";"G-N"
"JC";"G-N"
"KZ";"G-N"
"LZ";"G-N"
"MA";"G-N"
"MB";"G-N"
"MC";"G-N"
"NZ";"G-N"
"OZ";"B-S_X_O"
"PZ";"P-S"
"QA";"P-S"
"QB";"P-S"
"RZ";"P-S"
"SZ";"P-S"
"TZ";"B-S_X_O"
