"BRANCH";"SECTOR"
"AZ";"A"
"BZ";"B"
"CA";"C-E"
"CB";"C-E"
"CC";"C-E"
"CD";"C-E"
"CE";"C-E"
"CF";"C-E"
"CG";"C-E"
"CH";"C-E"
"CI";"C-E"
"CJ";"C-E"
"CK";"C-E"
"CL";"C-E"
"CM";"C-E"
"DZ";"D"
"EZ";"C-E"
"FZ";"F"
"GZ";"G-T"
"HZ";"G-T"
"IZ";"G-T"
"JA";"G-T"
"JB";"G-T"
"JC";"G-T"
"KZ";"G-T"
"LZ";"G-T"
"MA";"G-T"
"MB";"G-T"
"MC";"G-T"
"NZ";"G-T"
"OZ";"G-T"
"PZ";"G-T"
"QA";"G-T"
"QB";"G-T"
"RZ";"G-T"
"SZ";"G-T"
"TZ";"G-T"
